#1:cfg  2:S
919 590546.8433428829
920 590280.9994079762
921 591080.5076363678
922 591147.3977747808
923 591725.9359467631
924 591423.7256889758
925 590678.7145739491
926 590508.051782854
927 591940.8200174152
928 592084.4689164554
929 591587.3445740329
930 591152.936083476
931 590528.4436288705
932 590814.7415818066
933 591727.5694649721
934 592460.7870776891
935 591291.0068874176
936 590515.2558241137
937 590417.5972568322
938 589663.1635557931
939 589591.5697708179
940 590295.6565198448
941 590204.2781858162
942 591233.5705432928
943 591377.5673261377
944 590775.7322213167
945 590547.9968655739
946 590271.0562650912
947 589907.1236553827
948 590084.9404809572
949 590119.5898866998
950 590958.4793605845
951 590705.8772835734
952 590324.8850544217
953 591220.2450412444
954 590920.4108827027
955 591703.1800277486
956 590568.0773764106
957 591151.3710444106
958 591001.5454347815
959 591486.754489764
960 591440.2071403943
961 591167.8804300856
962 591576.3657250663
963 592365.0808416464
964 591482.5733396346
965 591223.2227465342
966 591487.2916340273
967 591405.6772056122
968 591649.0684450507
969 591884.2456134475
970 591282.4255135958
971 592681.5826077095
972 591221.6918333739
973 590808.0853151503
974 590821.2141803671
975 591251.2793860227
976 591570.9264726489
977 591478.5561543577
978 591692.9528446866
979 592416.4730856614
980 592603.8499114236
