#1:cfg  2:S
0 568241.4035761855
1 730406.5181725711
2 809017.3545853675
3 853910.3841378356
4 882592.0195379253
5 903717.4800278042
6 917822.3678615523
7 930049.277816977
8 938723.6072509943
9 945423.4630306112
10 951402.5765707572
11 954811.793374032
12 959194.6555762182
13 961483.7601766738
14 965132.9182921918
15 968541.031051156
16 969713.9437973386
17 970959.5633190685
18 973598.3433021613
19 975539.2578569686
20 977690.702676479
21 978330.0149858224
22 977561.6170427836
23 978992.3968401409
24 979378.6092120055
25 978843.5202420424
26 981202.2293312098
27 981901.5725844235
28 983122.2982511618
29 981890.7565712243
30 983724.1748485983
31 983608.9833432661
32 984124.1336032358
33 985062.0528241091
34 986155.8150446372
35 986230.7063907229
36 988541.7677236298
37 986195.9459860498
38 987193.4616255832
39 986300.8361868957
40 987523.0201089734
41 988287.3748090992
42 988466.1130454029
43 990795.2047500071
44 989313.2355665917
45 988737.1647505218
46 990039.5934143054
47 990600.2828883916
48 991273.1702719472
49 990408.6465170064
50 992282.9279778932
51 990982.9904259461
52 991288.0579536475
53 992883.919375798
54 993274.5590055457
55 993498.2186226567
56 993255.7020780985
57 993760.5512223414
58 993884.2062595157
59 993723.7206855094
60 997296.1083633661
61 995703.8925045503
62 994194.2713819783
63 995090.6631211125
64 992099.6000055559
65 993853.2586287021
66 993232.2439727453
67 995433.856757993
68 996172.8736390816
69 995679.7974529323
70 994954.9079734943
71 995748.3339274426
72 995714.3903393644
73 994084.9354465642
74 994682.497867428
75 995885.9078752305
76 995893.6153990859
77 994644.1286196919
78 996673.3810816773
79 999796.0609502415
80 998538.6665639267
81 996840.105356346
82 995449.4185581846
83 995741.6277944391
84 996664.7109793713
85 998061.0916253952
86 998131.5296705784
87 997725.6660663262
88 998230.585124092
89 1000353.2578029647
90 1000981.0442149969
91 1002401.8027466394
92 1001077.1792960874
93 1001185.6908031006
94 1001947.4475495736
95 1002317.279858096
96 1001236.0205192422
97 999449.8941103503
98 999833.0817601471
99 1000812.8364928216
100 1561525.3433577297
101 1622714.9678406722
102 1638897.03288268
103 1644337.1550155324
104 1646225.3442940626
105 1647322.7941414008
106 1648667.5385896552
107 1650011.533077246
108 1651910.6565838354
109 1652664.3991015085
#1:cfg  2:S
0 568241.4035761855
1 730406.5181725711
2 809017.3545853675
3 853910.3841378356
4 882592.0195379253
5 903717.4800278042
6 917822.3678615523
7 930049.277816977
8 938723.6072509943
9 945423.4630306112
10 951402.5765707572
11 954811.793374032
12 959194.6555762182
13 961483.7601766738
14 965132.9182921918
15 968541.031051156
16 969713.9437973386
17 970959.5633190685
18 973598.3433021613
19 975539.2578569686
20 977690.702676479
21 978330.0149858224
22 977561.6170427836
23 978992.3968401409
24 979378.6092120055
25 978843.5202420424
26 981202.2293312098
27 981901.5725844235
28 983122.2982511618
29 981890.7565712243
30 983724.1748485983
31 983608.9833432661
32 984124.1336032358
33 985062.0528241091
34 986155.8150446372
35 986230.7063907229
36 988541.7677236298
37 986195.9459860498
38 987193.4616255832
39 986300.8361868957
40 987523.0201089734
41 988287.3748090992
42 988466.1130454029
43 990795.2047500071
44 989313.2355665917
45 988737.1647505218
46 990039.5934143054
47 990600.2828883916
48 991273.1702719472
49 990408.6465170064
50 992282.9279778932
51 990982.9904259461
52 991288.0579536475
53 992883.919375798
54 993274.5590055457
55 993498.2186226567
56 993255.7020780985
57 993760.5512223414
58 993884.2062595157
59 993723.7206855094
60 997296.1083633661
61 995703.8925045503
62 994194.2713819783
63 995090.6631211125
64 992099.6000055559
65 993853.2586287021
66 993232.2439727453
67 995433.856757993
68 996172.8736390816
69 995679.7974529323
70 994954.9079734943
71 995748.3339274426
72 995714.3903393644
73 994084.9354465642
74 994682.497867428
75 995885.9078752305
76 995893.6153990859
77 994644.1286196919
78 996673.3810816773
79 999796.0609502415
80 998538.6665639267
81 996840.105356346
82 995449.4185581846
83 995741.6277944391
84 996664.7109793713
85 998061.0916253952
86 998131.5296705784
87 997725.6660663262
88 998230.585124092
89 1000353.2578029647
90 1000981.0442149969
91 1002401.8027466394
92 1001077.1792960874
93 1001185.6908031006
94 1001947.4475495736
95 1002317.279858096
96 1001236.0205192422
97 999449.8941103503
98 999833.0817601471
99 1000812.8364928216
100 1561525.3433577297
101 1622714.9678406722
102 1638897.03288268
103 1644337.1550155324
104 1646225.3442940626
105 1647322.7941414008
106 1648667.5385896552
107 1650011.533077246
108 1651910.6565838354
109 1652664.3991015085
